ma_bravo,quan_ly_serial
TH.AR.A01.0057,False
TH.AR.A01.0180,False
TH.AR.A01.0123,False
TH.AR.A01.0182,False
TH.AR.A01.0183,False
TH.AR.A01.0126,False
TH.AR.A01.0056,False
TH.AR.A01.0201,False
TH.AR.A01.0203,False
TH.AR.A01.0197,False
TH.AR.A02.0089,False
TH.AR.A01.0171,False
TH.AR.A01.0136,False
TH.AR.A01.0020,False
TH.AR.A01.0019,False
TH.AR.A01.0187,False
TH.AR.A01.0018,False
TH.AR.A01.0049,False
TH.AR.A01.0044,False
TH.AR.A01.0051,False
TH.AR.A01.0108,False
TH.AR.A01.0034,False
TH.AR.A01.0021,False
TH.AR.A01.0022,False
TH.AR.A01.0039,False
TH.AR.A01.0036,False
TH.AR.A01.0035,False
TH.AR.A01.0038,False
TH.AR.A01.0037,False
TH.AR.A01.0109,False
TH.AR.A01.0322,False
TH.AR.A01.0128,False
TH.AR.A01.0129,False
TH.AR.A01.0024,False
TH.ZZ.X01.0068,False
TH.AR.A01.0081,False
TH.AR.A01.0085,False
TH.AR.A01.0084,False
TH.AR.A01.0122,False
TH.AR.A01.0042,False
TH.AR.A01.0003,False
TH.AR.A01.0119,False
TH.AR.A01.0114,False
TH.AR.A01.0113,False
TH.AR.A01.0116,False
TH.AR.A01.0115,False
TH.AR.A01.0118,False
TH.AR.A01.0117,False
TH.AR.A01.0125,False
TH.AR.A01.0032,False
TH.AR.A01.0031,False
TH.AR.A01.0030,False
TH.AR.A01.0052,False
TH.AR.A01.0137,False
TH.AR.A01.0048,False
TH.AR.A01.0045,False
TH.AR.A01.0130,False
TH.AR.A01.0131,False
TH.AR.A01.0132,False
TH.AR.A02.0080,False
TH.AR.A01.0138,False
TH.AR.A01.0140,False
TH.AR.A01.0139,False
TH.AR.A04.0009,False
TH.AR.A01.0188,False
TH.AR.A01.0316,False
TH.AR.A01.0026,False
TH.AR.A01.0148,False
TH.AR.A01.0149,False
TH.AR.A01.0133,False
TH.AR.A01.0043,False
TH.AR.A04.0023,False
TH.AR.A01.0185,False
TH.AR.A01.0091,False
TH.AR.A01.0092,False
TH.AR.A01.0101,False
TH.AR.A01.0100,False
TH.AR.A01.0102,False
TH.AR.A01.0086,False
TH.AR.A01.0275,False
TH.AR.A01.0093,False
TH.AR.A01.0088,False
TH.AR.A01.0087,False
TH.AR.A01.0190,False
TH.AR.A01.0124,False
TH.AR.A01.0166,False
TH.AR.A01.0143,False
TH.AR.A01.0144,False
TH.AR.A01.0127,False
TH.AR.A01.0172,False
TH.AR.A01.0162,False
TH.AR.A01.0027,False
TH.AR.A01.0028,False
TH.AR.A01.0025,False
TH.AR.A01.0023,False
TH.AR.A01.0054,False
TH.AR.A01.0099,False
TH.AR.A01.0351,False
TH.AR.A01.0290,False
TH.AR.A01.0055,False
TH.AR.A01.0004,False
TH.ZZ.X01.0098,False
TH.ZZ.X01.0096,False
TH.ZZ.X01.0097,False
TH.AR.A04.0004,True
TH.AR.A04.0006,True
TH.AR.A04.0005,True
TH.AR.A01.0200,True
TH.AR.A01.0053,True
TH.AR.A01.0202,True
TH.AR.A01.0204,True
TH.AR.A04.0002,True
TH.AR.A04.0001,True
TH.AR.A04.0024,True
TH.AR.A04.0012,True
TH.AR.A04.0016,True
TH.AR.A04.0014,True
TH.AR.A04.0015,True
