ma_bravo,phan_loai
TH.AR.A01.0057,CCDC
TH.AR.A01.0180,CCDC
TH.AR.A01.0123,CCDC
TH.AR.A01.0182,CCDC
TH.AR.A01.0183,CCDC
TH.AR.A01.0126,CCDC
TH.AR.A01.0056,CCDC
TH.AR.A01.0201,CCDC
TH.AR.A01.0203,CCDC
TH.AR.A01.0197,CCDC
TH.AR.A02.0089,CCDC
TH.AR.A01.0171,CCDC
TH.AR.A01.0136,CCDC
TH.AR.A01.0020,CCDC
TH.AR.A01.0019,CCDC
TH.AR.A01.0187,CCDC
TH.AR.A01.0018,CCDC
TH.AR.A01.0049,CCDC
TH.AR.A01.0044,CCDC
TH.AR.A01.0051,CCDC
TH.AR.A01.0108,CCDC
TH.AR.A01.0034,CCDC
TH.AR.A01.0021,CCDC
TH.AR.A01.0022,CCDC
TH.AR.A01.0039,CCDC
TH.AR.A01.0036,CCDC
TH.AR.A01.0035,CCDC
TH.AR.A01.0038,CCDC
TH.AR.A01.0037,CCDC
TH.AR.A01.0109,CCDC
TH.AR.A01.0322,CCDC
TH.AR.A01.0128,CCDC
TH.AR.A01.0129,CCDC
TH.AR.A01.0024,CCDC
TH.ZZ.X01.0068,CCDC
TH.AR.A01.0081,CCDC
TH.AR.A01.0085,CCDC
TH.AR.A01.0084,CCDC
TH.AR.A01.0122,CCDC
TH.AR.A01.0042,CCDC
TH.AR.A01.0003,CCDC
TH.AR.A01.0119,CCDC
TH.AR.A01.0114,CCDC
TH.AR.A01.0113,CCDC
TH.AR.A01.0116,CCDC
TH.AR.A01.0115,CCDC
TH.AR.A01.0118,CCDC
TH.AR.A01.0117,CCDC
TH.AR.A01.0125,CCDC
TH.AR.A01.0032,CCDC
TH.AR.A01.0031,CCDC
TH.AR.A01.0030,CCDC
TH.AR.A01.0052,CCDC
TH.AR.A01.0137,CCDC
TH.AR.A01.0048,CCDC
TH.AR.A01.0045,CCDC
TH.AR.A01.0130,CCDC
TH.AR.A01.0131,CCDC
TH.AR.A01.0132,CCDC
TH.AR.A02.0080,CCDC
TH.AR.A01.0138,CCDC
TH.AR.A01.0140,CCDC
TH.AR.A01.0139,CCDC
TH.AR.A04.0009,CCDC
TH.AR.A01.0188,CCDC
TH.AR.A01.0316,CCDC
TH.AR.A01.0026,CCDC
TH.AR.A01.0148,CCDC
TH.AR.A01.0149,CCDC
TH.AR.A01.0133,CCDC
TH.AR.A01.0043,CCDC
TH.AR.A04.0023,CCDC
TH.AR.A01.0185,CCDC
TH.AR.A01.0091,CCDC
TH.AR.A01.0092,CCDC
TH.AR.A01.0101,CCDC
TH.AR.A01.0100,CCDC
TH.AR.A01.0102,CCDC
TH.AR.A01.0086,CCDC
TH.AR.A01.0275,CCDC
TH.AR.A01.0093,CCDC
TH.AR.A01.0088,CCDC
TH.AR.A01.0087,CCDC
TH.AR.A01.0190,CCDC
TH.AR.A01.0124,CCDC
TH.AR.A01.0166,CCDC
TH.AR.A01.0143,CCDC
TH.AR.A01.0144,CCDC
TH.AR.A01.0127,CCDC
TH.AR.A01.0172,CCDC
TH.AR.A01.0162,CCDC
TH.AR.A01.0027,CCDC
TH.AR.A01.0028,CCDC
TH.AR.A01.0025,CCDC
TH.AR.A01.0023,CCDC
TH.AR.A01.0054,CCDC
TH.AR.A01.0099,CCDC
TH.AR.A01.0351,CCDC
TH.AR.A01.0290,CCDC
TH.AR.A01.0055,CCDC
TH.AR.A01.0004,CCDC
TH.ZZ.X01.0098,CCDC
TH.ZZ.X01.0096,CCDC
TH.ZZ.X01.0097,CCDC
TH.AR.A04.0004,THIẾT BỊ
TH.AR.A04.0006,THIẾT BỊ
TH.AR.A04.0005,THIẾT BỊ
TH.AR.A01.0200,THIẾT BỊ
TH.AR.A01.0053,THIẾT BỊ
TH.AR.A01.0202,THIẾT BỊ
TH.AR.A01.0204,THIẾT BỊ
TH.AR.A04.0002,THIẾT BỊ
TH.AR.A04.0001,THIẾT BỊ
TH.AR.A04.0024,THIẾT BỊ
TH.AR.A04.0012,THIẾT BỊ
TH.AR.A04.0016,THIẾT BỊ
TH.AR.A04.0014,THIẾT BỊ
TH.AR.A04.0015,THIẾT BỊ
