ngay,loai,ma_bravo,so_luong,don_gia,thanh_tien,ghi_chu
2025-07-01,ton_dau,TH.AR.A01.0057,1.0,26733000.0,26733000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0180,3.0,38064600.0,114193800.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0123,3.0,13872600.0,41617800.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0182,3.0,10306799.999999998,30920400.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0183,3.0,6249599.999999999,18748800.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0126,3.0,1663200.0,4989600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0056,2.0,12448799.999999998,24897600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0201,3.0,12448799.999999998,37346400.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0203,3.0,12448799.999999998,37346400.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0197,4.0,12448799.999999998,49795200.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A02.0089,4.0,907200.0,3628800.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0171,3.0,8555400.0,25666200.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0136,3.0,5443200.0,16329600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0020,1.0,14036400.0,14036400.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0019,3.0,18043200.0,54129600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0187,1.0,23394000.0,23394000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0018,1.0,18219600.0,18219600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0044,1.0,12364800.000000002,12364800.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0051,1.0,8013599.999999999,8013600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0108,3.0,7849800.0,23549400.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0034,1.0,6010199.999999998,6010200.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0021,1.0,17211600.0,17211600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0022,1.0,17211600.0,17211600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0039,1.0,44100000.0,44100000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0036,1.0,2331000.0,2331000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0035,1.0,2331000.0,2331000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0038,1.0,2331000.0,2331000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0037,1.0,2331000.0,2331000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0109,1.0,4510800.0,4510800.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0322,4.0,8442000.0,33768000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0128,3.0,8442000.0,25326000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0129,3.0,8442000.0,25326000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0024,1.0,4674600.0,4674600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.ZZ.X01.0068,1.0,0.0,0.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0057,2.0,26733000.0,53466000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0081,3.0,2331000.0,6993000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0085,3.0,3339000.0,10017000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0084,3.0,2167200.0,6501600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0122,3.0,6514200.0,19542600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0042,1.0,1159200.0,1159200.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0003,5.0,447300.0,2236500.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0119,3.0,2167200.0,6501600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0114,3.0,3339000.0,10017000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0113,3.0,2167200.0,6501600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0116,3.0,3339000.0,10017000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0115,3.0,2167200.0,6501600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0118,3.0,3339000.0,10017000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0117,3.0,2167200.0,6501600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0125,3.0,5896800.0,17690400.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0032,1.0,4510800.0,4510800.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0031,1.0,4510800.0,4510800.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0030,1.0,831600.0,831600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0052,4.0,2835000.0,11340000.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0180,1.0,38064600.0,38064600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0123,1.0,13872600.0,13872600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0182,1.0,10306799.999999998,10306800.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0183,1.0,6249599.999999999,6249600.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0126,1.0,1663200.0,1663200.0,Tồn đầu kỳ import
2025-07-01,ton_dau,TH.AR.A01.0137,1.0,5342399.999999999,5342400.0,Tồn đầu kỳ import
